sample	weight	z_j54_r1_k1	z_j54_r1_k2	z_j54_r2_k1	z_j54_r2_k2	z_j54_r3_k1	z_j54_r3_k2	z_j196_r1_k1	z_j196_r1_k2	z_j196_r2_k1	z_j196_r2_k2	z_j196_r3_k1	z_j196_r3_k2	z_j219_r1_k1	z_j219_r1_k2	z_j219_r2_k1	z_j219_r2_k2	z_j219_r3_k1	z_j219_r3_k2	z_j258_r1_k1	z_j258_r1_k2	z_j258_r2_k1	z_j258_r2_k2	z_j258_r3_k1	z_j258_r3_k2	z_j261_r1_k1	z_j261_r1_k2	z_j261_r2_k1	z_j261_r2_k2	z_j261_r3_k1	z_j261_r3_k2	z_j308_r1_k1	z_j308_r1_k2	z_j308_r2_k1	z_j308_r2_k2	z_j308_r3_k1	z_j308_r3_k2	z_j339_r1_k1	z_j339_r1_k2	z_j339_r1_k3	z_j339_r2_k1	z_j339_r2_k2	z_j339_r2_k3	z_j339_r3_k1	z_j339_r3_k2	z_j339_r3_k3	z_j386_r1_k1	z_j457_r1_k1	z_j475_r1_k1	z_j475_r1_k2	z_j475_r1_k3	z_j477_r1_k1	z_j477_r1_k2	z_j477_r2_k1	z_j477_r2_k2	z_j481_r1_k1	z_j481_r1_k2	z_j481_r1_k3	z_j481_r1_k4	z_j481_r1_k5	z_j485_r1_k1	z_j485_r1_k2	z_j485_r2_k1	z_j485_r2_k2	z_j486_r1_k1	z_j486_r2_k1	z_j487_r1_k1	z_j487_r1_k2	z_j487_r1_k3	z_j487_r1_k4	z_j490_r1_k1	z_j490_r1_k2	z_j490_r2_k1	z_j490_r2_k2	z_j491_r1_k1	z_j491_r2_k1	z_j495_r1_k1	z_j495_r1_k2	z_j495_r1_k3	z_j495_r2_k1	z_j495_r2_k2	z_j495_r2_k3	z_j495_r3_k1	z_j495_r3_k2	z_j495_r3_k3	z_j495_r3_k4	z_j495_r4_k1	z_j495_r4_k2	z_j495_r4_k3	z_j496_r1_k1	z_j496_r2_k1	z_j496_r3_k1	z_j497_r1_k1	z_j497_r1_k2	z_j497_r1_k3	z_j497_r2_k1	z_j497_r2_k2	z_j497_r2_k3
1	0.0078125	0.2276907339	-0.9307937077	0.9464741276	-0.6641708969	-0.3602284539	0.4966071283	-1.388952033	1.755233972	-0.9002971019	0.9841003602	-1.88031939	1.390990399	0.8493823646	-1.51933686	-1.104765439	-0.9449833935	-0.991246559	-0.6439469843	-0.8462927953	0.3143025094	1.537942373	-0.07607886383	-0.3649618397	1.122174905	0.6633766669	-1.284472932	0.1905726451	-1.173964591	0.4603055294	0.02698823276	0.1051438011	2.577924412	-1.552222866	2.227612902	3.991928244	-0.8341274138	0.4440162349	1.387083473	0.4677032582	1.182858642	-1.53967657	1.286482984	-1.011756313	-0.9737915056	1.994703383	0.5816773024	0.5353122443	-0.1266631009	1.748967569	-1.237306889	3.195298566	-1.975765858	-1.370226985	-1.214598553	-0.3078685966	-1.721681503	-0.69433654	0.8008511659	2.695652366	-1.031574422	-0.384453494	0.5873466476	-0.3430003818	0.3473809373	0.6081074291	0.09531737739	1.522261455	3.741057499	-0.5557866601	0.07866609958	-0.1136912077	0.2649164196	-2.317125569	2.089315974	1.171125522	-1.450942022	0.7212065188	0.2743032348	1.583093836	0.3892533241	-1.128766115	-0.8696934464	1.94218164	1.267744729	0.2563919346	-0.4882439895	-1.008053731	-1.838130304	-1.028272744	-1.737341434	-0.6342365835	-1.855417585	-0.6542356945	0.1875155601	1.845077858	-1.047599589	-0.747302724
2	0.0078125	-0.4731190669	-0.1038040569	-0.02929781003	-0.8961530944	-0.2652316886	-0.4586926183	0.3070848347	-0.3293821838	0.8876765314	0.7364374934	0.4917583346	0.4804476237	0.9598468641	-0.1312321556	-0.217282117	0.1510671053	0.2961651879	0.07270561049	0.1552254231	-0.008796858912	-0.6218414581	-0.1607125372	-0.7210173411	-0.006086283687	0.3776287908	-0.2722954617	0.5874300933	0.5746083956	0.3569778277	0.06910086743	1.035212032	0.2893893486	-0.2871265304	-0.6289651948	-0.4080355176	0.2077069577	-0.7529437665	1.007170499	0.1538288164	-0.1634816182	0.3475048481	0.7651696329	-0.8001668572	-0.2040042691	0.2241725806	0.4940405411	-0.4176879372	-1.296526556	0.3663353407	0.188198396	0.217132132	-0.4161720426	0.171541313	0.1082299517	-0.511313848	0.3413616321	-0.5248477482	-0.2462214602	0.4617691746	-0.1236647613	-0.2996285293	-0.4380974498	0.001682051591	0.9477638787	-0.3272964202	-0.1599660311	0.7823131875	-0.1361448939	0.01765126523	-0.03561793391	0.1793262297	-0.8059173915	-0.3389478857	-0.0001330480783	-0.02353087784	0.05312086262	0.08988786486	0.1532619647	-0.1131006301	0.01486173724	-1.512977331	-0.09791469825	-0.1004517963	-0.4367702714	0.3600674323	-0.3796367655	0.03804763849	0.1092494879	0.5333852306	0.5098562144	-0.1085176105	0.3550512147	-0.3058976103	-0.653626253	-0.2534162045	0.5375805885	0.4146211353
3	0.0078125	2.413084367	-0.2741716262	-0.07329577917	-0.9845796032	-1.513879215	-0.3849145313	-0.6008502499	-0.06898625677	0.05374270745	0.368581674	0.5015498152	0.4082175573	-0.7949240214	1.634827088	-1.41817637	-0.0880909566	1.722004496	1.529737494	-1.631373179	0.5354157419	-1.4496154	-1.184864867	-1.710293888	1.145371303	2.293465257	-2.469659942	-1.509720571	0.4483881978	-0.8932796052	-1.780693314	0.089107321	-0.8329345511	0.964713625	0.1230713247	0.7682236269	-1.714563883	0.6451837148	1.086237061	0.1954901536	-0.7927405252	-1.279037279	2.10762475	-0.9661677077	0.9631941615	0.2160292692	-0.6688409878	-0.527119285	0.1414246749	0.7150865529	1.723570687	0.6224864633	1.01714716	0.3298980697	-0.4920985052	-0.5975208797	-1.176204707	0.3192562592	-0.9475192264	0.7354913235	-1.571520152	1.000468898	-0.1856700656	0.05338921995	0.839845797	0.6535462147	0.2777193206	1.584472577	0.8791435032	-2.167603695	-0.1246972504	-0.8774728417	-1.020568561	-1.902258845	-1.577474918	0.0007915048107	-1.03581995	0.72002778	-0.1359230155	-0.8009562769	-0.6293216912	0.2383266893	1.794151667	3.952516785	-0.8949816901	-0.04617136746	-0.6636308125	-0.02579780773	1.439300925	-0.2601284356	-1.361144188	-1.231973533	-2.123384549	-0.4940272127	-0.8350498531	-1.231173127	0.6172622539	1.177360898
4	0.0078125	0.1085477583	1.041804002	0.7556071948	2.046398455	1.3563258	1.210347938	-0.1973561355	0.3506233939	0.7579167111	-0.08860788926	2.241306845	0.06799403627	-0.09008025453	-2.142158928	-1.665935191	2.615057556	-0.8615857979	-1.752932127	-1.762678943	0.3266441994	-1.345130554	-0.2030463159	-0.7299816713	0.9271234132	-0.6904431044	-0.8431010322	-0.06129281171	0.4957742143	1.812404036	0.05027624582	3.609978165	-1.396458772	0.9658446284	-0.22070348	0.7292375398	1.260666222	-0.7512505276	0.3786794152	-0.6491840806	-1.82730525	-0.8628781173	0.1723237871	-0.6732508312	-0.6048759111	-0.03403125828	-1.071262885	-0.9837807768	0.1499266137	0.3710374607	0.8319084758	-0.5898271082	-0.598792075	1.474757293	0.5767374985	-1.079328383	1.172749955	-1.490537082	1.057741101	-0.4728888677	-0.6434285793	0.4860965744	-2.206930382	2.132123926	1.507850408	-0.8150590279	0.2997074519	-0.7060452624	0.4966823043	-0.6579332445	0.08785638947	1.901063958	-0.3940006728	-0.3523990625	-1.184618958	0.7547065304	2.84819657	-0.03942794885	0.3644488204	-0.8547074071	0.5590472388	0.1378847742	-1.001245169	-0.4435340677	0.3277864971	0.1514490855	-1.997116499	2.236118574	0.04314683914	2.339906602	0.9166880053	-1.367945947	1.364198633	-1.250378106	0.7759042534	-2.115115447	-1.715198379	1.466826589
5	0.0078125	-0.7579500715	-1.036022414	-1.694066189	0.4613283707	-1.255003878	1.430356808	3.067174854	1.932087096	-0.06465449942	-1.44598152	1.980334002	0.2908135339	0.8539622696	0.7858778441	1.324590319	0.780952955	2.013394739	0.7590639451	1.499849286	-1.307704829	0.8663373829	0.346897044	-1.350936581	-0.8552079014	-0.6849789776	-2.077725448	-2.119659027	-0.1306019085	-0.01370393561	-1.325160626	0.04012183292	0.3053591174	1.703281125	-2.770822657	-0.9765731854	1.563390214	0.06381321298	0.8099250883	0.0838219973	-2.877370753	-1.311637287	-1.489221003	-3.13586052	-1.022514134	-0.722576011	0.9495165508	1.66071772	0.3754117704	0.1744795113	0.9470554752	-0.1358716478	-0.08710092693	-0.09081575423	-0.1874366807	-0.9079153725	-0.7923829439	-1.573471707	-0.06140067678	2.094616466	0.2381436663	0.9520179606	-0.4432435797	-0.9728060598	0.4815056908	0.8264364614	1.626485642	1.32277213	0.1305309431	-1.19594339	1.619232804	-1.009155793	1.500541925	-0.3963799002	1.217128789	1.816966653	-1.033122504	0.9968043614	-0.2282873556	-0.993794352	-1.325225326	-1.767476991	-0.2910233951	-0.06123109618	1.258664871	2.464803514	-1.428817384	1.183240662	1.358332441	0.9176760086	1.839974037	-0.9553837697	0.7211377245	0.4343333751	-0.4713897917	0.7672211866	-2.154899912	-0.4588147417
6	0.0078125	1.20593061	-0.2818434162	-0.5043700561	0.3579767126	-0.08316244307	-0.476210322	0.4216454534	1.461240562	-0.5105791489	1.670307825	1.116040851	-0.5023846046	0.4157197627	-0.8320917512	3.833968232	-0.7286500219	1.18722445	-1.579348946	0.5149973043	-0.764995416	0.6895451449	1.038129971	0.5353272049	1.23415106	0.2195187711	-1.162118028	-3.106398124	-0.2375752616	1.219440928	0.5308924087	-2.42561228	-0.03971878698	-0.3142519799	0.177615901	-1.286866967	0.8682492292	-1.579672256	-0.2222005118	-1.58073087	-2.143993059	-1.510153685	0.1510239061	-2.411708675	0.7370147708	1.858792187	-0.3673912262	-0.03028306257	-2.489507603	-1.704387549	0.104487033	0.4706338193	-0.1367235108	-0.1957879362	-0.6020182753	-0.5784610412	0.4284941249	-0.1575793515	0.8736767734	-0.2196534333	-0.1257556136	0.5586909252	0.1788009928	0.5661852835	0.7135711809	0.8419529515	0.8627934676	1.823608365	-1.231302988	-1.122335344	0.2097794611	-2.748654511	-1.323290408	0.03631928484	0.589974652	0.2365033199	1.325703966	0.6283015197	2.409164921	-0.7327424429	0.2481859654	-1.533608053	-0.4039101011	-2.468692606	0.5328222005	1.115971511	-0.7997147023	1.920802674	-1.341263492	-0.9601915828	-0.4641247805	2.064529052	1.137349597	1.435384154	1.735229356	0.1454924571	0.2394889406	-0.1144510137
7	0.0078125	-1.290800468	-1.143295553	-3.359578961	-0.1869274498	2.264722469	-0.2945988571	-0.688449176	-0.6779545096	-0.3457684575	0.5571222399	0.3819417792	1.598336345	-1.495658217	-1.918451082	-1.026872013	0.01808348	2.137488506	0.1769540273	0.04390842732	1.1517129	-1.481134009	-0.2140198473	1.653329298	1.387151014	0.4079014645	-1.463313883	1.44707636	0.6107277513	2.382676378	-1.801409263	0.9590959097	0.7441456389	-1.237767542	-0.4708814858	-0.2073260805	-1.985549866	-0.1425498045	0.01276402002	-0.4455011352	-1.759832235	-1.068227568	1.569401486	-0.9992895372	-0.7582507794	-1.292073106	-1.259606948	-2.331459899	-1.45919627	-0.05315811451	-1.061015966	-0.364830382	-0.007633130172	-1.11207051	-1.809582612	-1.103874509	-0.2086997158	-3.45492004	-1.724925404	0.5733607003	-1.050162577	0.626701269	-1.098000936	-0.2555413799	1.057274215	0.07082401369	-2.148733043	2.293618666	-0.4279645571	-0.4871216533	-0.6366139014	-0.8422628757	1.511082745	1.077737329	-3.10116558	0.9852085064	-0.2878764528	1.324651966	1.051752849	1.164096517	-0.5957021448	-0.47945474	0.7910453028	2.781913208	-0.2349585979	-0.004945497423	-0.4322462391	-0.4737401701	-0.1609499185	-1.318526003	-0.00233353661	1.488541665	1.551424357	-1.200650032	-1.414833441	-1.270849989	-0.03500255898	-0.450907191
8	0.0078125	-0.82802331	-0.9414221258	-1.93794069	-0.8698738398	0.2397529318	1.790237563	0.05333644372	-1.125775164	2.377825941	-1.455835838	0.6423448016	-0.59580198	0.3833251539	-0.8620074169	0.8319905123	1.014474518	1.173295749	1.239539916	0.2572428442	-0.4050926834	-1.571460663	1.248040358	-0.3536752898	-0.7023595955	-1.90318991	0.1674975242	-1.216281011	0.88251355	-0.456516084	0.2367859742	0.3356582072	-1.171317439	-2.546722065	1.761977537	1.54789442	-0.05998666296	-1.759973066	0.1515136855	-0.7716009188	-0.1442794477	1.890695889	1.931618515	-1.678932137	-0.8780351487	2.099293639	2.103662219	1.178072207	-0.3618635701	-0.01622785614	1.630428978	1.592414309	0.738270144	2.980908418	0.5086489431	-1.091680581	1.17599981	-0.9212870456	-0.4218548641	-0.6329366773	1.276506446	-0.187781338	0.6227766857	0.7551708809	0.8178802156	0.5055021484	3.384431954	0.4586367418	1.899168307	3.944829946	0.6085619456	-0.2111756324	0.5128528815	-1.885158312	-0.3070838652	3.178899946	-0.5216249184	1.060573467	2.557891773	-1.456720492	-1.020927357	-2.260912088	-1.965271341	1.021060853	1.530862535	1.038099684	0.234732371	1.001215874	0.3310503538	1.269854011	1.674475332	-1.800450114	0.3168079585	-0.8432997508	-0.08896387557	0.411607211	-1.498015691	0.3262723637
9	0.0078125	-0.1092847097	-1.53935707	1.215773874	-0.1068996291	0.2643217355	-0.3584839406	0.5950564485	1.873671774	0.140457006	0.6429340142	0.614444951	-1.101885362	0.6617579803	1.693234252	0.4547748599	-1.043818934	-1.077929469	1.350289736	0.2674483777	-1.765666905	3.063237365	-1.613802288	0.05934102911	-1.778718422	-1.634792837	3.992880469	0.04165695925	0.5463644962	0.1561534996	-0.3014535484	2.217809113	1.43827443	-0.07545573531	-0.3827319533	3.545972651	0.4546809366	-1.613676484	1.169297976	0.5732705794	0.9812976117	-0.4031437447	1.266210499	0.9073416716	0.09626032228	1.636642943	0.9764321149	0.8910731112	-0.8157933959	-1.009699024	-0.4822134414	2.707604376	-1.269958334	2.704094917	-1.130360329	-0.8751508728	0.07356333785	-0.8356394694	1.112835824	3.069070747	1.140340876	1.840322507	-0.69253094	0.57767688	0.5969465608	0.2176670008	-0.3110474827	-2.390672725	-0.7850356903	0.8681939595	-0.5804210136	0.8544422124	-0.6188960206	1.619784099	0.1044780714	0.4168502171	0.6136504302	-1.809498518	-0.4850021019	-1.469402074	1.087444626	-1.687128646	0.3006189393	1.432961423	-0.8144027824	0.5874297811	-3.201347506	-0.2514035482	-1.177382728	0.9694040536	1.076534663	0.646239957	1.364047702	0.01582251534	-0.4306856882	-2.783718101	-0.1057247613	-0.6488976255
10	0.0078125	-0.1525581698	2.372080184	1.213041931	1.573031592	-0.387981829	0.5841423714	1.868370112	1.200116414	0.08211441845	-0.2909058073	-1.611979095	0.519849018	-0.3557310979	-0.2504258468	1.958642203	0.1377099371	-1.530230846	0.05277509394	-1.062810857	-0.2665372548	-0.01699555186	1.23679133	0.8539354355	1.710343673	0.7026448439	-1.061051623	0.7142279471	1.29545097	0.5932451629	0.9788806695	-0.9035841455	-0.2771588131	-2.644345098	1.344267812	0.5493879508	-1.358807619	-0.9529861117	0.3650332352	-0.5200277039	0.3915164245	0.8857449767	0.6391523309	-0.1654269562	-1.351622902	-0.1050008156	-0.9369721061	-1.434168996	0.6542108291	1.405590244	1.493434741	1.264153406	2.04684143	2.430582458	-0.8989989266	-0.4827847193	0.09630050056	-1.794829349	1.010669565	0.7443879563	-0.5703401005	0.4518703217	0.9501755039	0.2180902709	0.3334257294	1.328017338	2.284730462	0.3601234609	-0.6030756256	0.2400992836	0.7470347864	1.197193014	0.5985704515	-1.008192831	0.8040703773	0.2074584514	0.4594803874	1.812626707	-0.3216967633	-1.233555605	-1.138390807	-0.5473816851	0.244219412	-0.3782992639	1.128076336	0.8714622008	-0.5109797717	0.464986214	-0.3499668666	-1.488185856	-0.5590494773	1.165882157	-0.7960577599	1.605666895	0.6831500265	0.2371313791	0.5339359786	-1.637825608
11	0.0078125	-0.1108494648	-1.80058643	-0.8364437893	2.61880682	0.4800888829	-1.156402173	0.552423636	-0.4659981758	2.152973702	-0.3599697619	-1.302836561	0.1089523332	2.067500003	-1.218758936	0.4167136074	-0.07325934752	0.8876196139	2.444811151	-0.3565034243	0.8323821696	-0.745152591	1.731529444	-3.00875954	-0.3120506668	2.629964778	-0.7517391909	0.6856544724	-1.477826925	0.5644475414	1.055744371	1.747610693	0.9633106734	0.9478329238	1.442955099	0.3503020595	-0.5768153816	-0.5545186292	1.278357164	0.9178229042	-0.9176583697	-0.9739518559	-1.042620513	0.2943289915	-1.272848	-1.780676582	0.4158809211	1.954857927	-0.03585824714	0.4903575279	0.502234081	-0.3601589421	0.9191457011	1.173521296	-0.0989720179	0.1168820181	0.7902402267	-0.2967910168	1.649784704	-2.120716206	2.128063401	-0.7951631155	-1.258836464	0.3897061796	-0.1030620014	1.052817548	0.6297388945	0.8704814578	-1.261868778	0.3326854142	1.241115195	-0.7763410176	0.2472420321	-1.187099632	0.185155494	0.8069563383	0.1972208461	-0.304432274	-2.490739644	0.1275681411	-1.086197588	0.6875922059	-0.6604198555	-0.4544754401	-0.3225115788	0.353057896	1.258218155	-0.1173107887	0.878422608	0.02401567923	0.6400646062	1.907902143	-1.543352931	-1.137844675	-0.1894501456	1.408288255	0.1408441532	0.7181758956
12	0.0078125	-1.404490463	0.5299658827	2.727787391	-0.4123710089	-0.8073054821	-1.236223517	0.2327140488	-0.9562880798	1.577608412	0.5328198104	0.5773184238	1.987551693	1.063943033	-1.532650735	-0.221782476	-0.610415935	0.5902775993	-0.5352587288	0.4261645768	2.01763945	0.7715430229	2.356973042	0.3825344035	-0.6772367075	0.8370979256	1.031346106	2.693388382	-1.131414279	-1.672499498	1.570907816	-0.06944637246	1.715622855	-1.005729635	-1.428072323	0.9210490197	-1.537988223	-1.497055391	1.82521295	0.4292748506	-0.2542730664	-0.1423884487	-0.01192383132	0.7115912428	-0.2268489694	1.415621641	-0.7723592413	-0.3657629447	-0.08202249726	-1.178636058	0.7148736672	1.007840198	-1.622116692	1.266370046	0.3859185993	-0.4358452372	-1.063849034	-1.986127732	-0.3631256725	-1.031929933	-0.4246952568	1.197875426	0.02204406224	-0.2119420386	1.574766674	-0.4561131971	-0.1067790843	0.6242566482	-1.273139579	0.563850382	1.131369087	0.1101082904	-0.3159960195	-1.18702705	-1.652887269	-0.6835986834	1.403606682	-0.79897188	-2.18981882	1.080710929	0.4503195064	0.7102042429	3.028550734	-1.699659466	1.093232291	-2.409123085	-2.657947143	2.264969469	-2.133936111	0.8332827362	0.02767434033	1.536645406	1.528161906	-0.6508575596	0.5011428362	0.5701933684	-0.1408280871	-0.2779979915
13	0.0078125	1.810257823	-1.249652935	0.07336577385	-0.1347730915	-0.4818409633	0.4605468158	-1.17943291	-1.46641905	-0.2782508268	0.5631347295	2.082051608	1.934055885	-0.7445333009	-1.438360683	2.301406035	-0.8650374823	2.368584832	0.4241702051	0.4350057064	1.011795581	0.5112120266	-0.4804095792	-0.543843024	-1.693749017	-0.3614508164	-2.387145165	1.258781475	0.9277479362	-2.938352412	0.7486052758	1.774051893	0.2867770344	3.301495977	-1.877652158	1.041015864	0.8431246196	-1.98342215	0.911689316	0.7588720663	1.113291068	-0.4918389642	0.5533027936	-1.029841415	-0.1590467583	-1.105375586	0.8462556703	-0.5703728159	-0.06545326589	0.7459282528	1.119530538	-1.19943617	-0.2250255959	0.5679832347	0.2210278708	1.214510705	-0.2752523597	0.03051214744	0.783461383	4.166934253	-0.4093496842	-0.3739424764	0.2601072409	0.6471961396	0.3308674741	1.424199256	0.1421519521	-0.8425831747	2.453597658	0.173711761	0.451656614	1.109275523	-0.5280192737	-1.633899409	1.478407554	0.3084213021	0.1397582207	-0.03058082857	-0.9069993861	1.129112315	-1.02290177	-2.38653865	0.4576752575	1.907622263	0.9774982156	1.109932311	-1.403003848	1.192953719	-1.926768502	0.07932274019	-2.169647254	-1.12398754	-0.01957140301	-1.014314708	0.9217211693	-0.4760715778	-0.01485834203	0.7852244414
14	0.0078125	-1.293466256	-0.7564944387	0.0610964644	-0.5490984757	-0.6765462642	0.361174117	-1.080603452	-1.824565971	0.8113407559	2.035462236	-0.604217464	1.272751021	0.9575795153	1.029852499	1.276062383	1.291490993	-1.558571336	-1.061271647	1.912402656	2.512192313	2.296815586	0.1932133289	0.8092546982	-1.247016143	-0.1760386414	1.929563118	2.552048724	0.4744550406	0.5847450994	-0.3941779104	0.638752163	-0.1641557804	0.1494648218	0.8206528881	-2.078845383	-1.169320789	-1.201216722	1.682159631	-0.1194603802	-1.134189318	-0.8729135561	1.515129695	-1.652420874	0.2470145712	1.546525489	-1.364134285	-1.368101841	-0.8554450759	-1.027004474	-2.155391593	1.468659859	-0.2562692283	1.34307125	0.2135429229	-0.5398125528	-0.3782201223	-1.222230855	-1.028032402	0.9164982708	-1.315773405	-0.3129323487	-0.3272680819	-0.3529758297	0.3832717354	1.379198178	-0.06241276611	2.182199392	0.5346363066	-0.8904437643	2.053747137	1.502112281	-0.8797550372	-0.898080462	-1.174268171	-0.5262783623	-0.3419796877	-0.3894860787	1.041812569	1.815437665	-2.065577712	-0.7849277596	0.5085568281	1.166992942	0.0214893928	2.431609455	-2.785699344	0.1268839686	1.204999584	1.524646874	-1.559077851	1.5470127	-0.619918326	-0.4187342473	0.7041637837	-0.07896460556	1.989986825	1.194977452
15	0.0078125	-0.8964210712	1.749463287	-0.4927812626	-0.2935665646	-0.7821346057	0.5388494411	2.274762294	0.7380267328	0.9884436603	2.820325894	1.128047985	1.586289473	1.472176006	0.5356652115	0.002785861162	-0.0733174889	0.04781583464	-0.6016689848	-1.870414072	1.291294944	-0.60486228	-0.3248782236	-4.141361437	0.6561549592	-0.8433393682	-1.158581261	1.746036162	0.0552421283	1.062441857	0.1260015836	2.387116549	-1.078813454	0.5842427837	-2.269575032	-0.09426338353	-0.1774618165	-2.255464652	-0.6606260001	-1.021327053	0.9275830531	2.228902924	-1.207611801	0.2096261923	-1.100179573	0.9324442889	0.02142280507	-0.4968323626	-0.2128684438	-0.2690658637	0.6794670868	-0.03700503386	-0.9407491846	-0.9358343468	0.6299543011	0.8743151839	1.052542528	0.05749607281	0.380051585	0.6496408299	-0.06728604269	2.758877347	-0.586908395	0.09709890543	1.249559735	0.08148545655	-0.7381133268	-1.306793302	-0.7978432367	1.201934459	-1.01964793	0.4530893577	2.374466563	0.3455255628	2.339339586	-0.3979725928	0.6768375586	1.102085561	-0.6972782449	0.9730409046	-0.8413754226	-1.424409609	-0.5484275512	-0.7441354375	-0.4931990255	-0.6679463699	1.798629636	1.600304942	0.09438769572	0.7020730258	1.118702873	0.6375115671	1.768791952	-0.2480885769	-1.397090978	1.273056891	-0.8400504676	0.1565339554
16	0.0078125	-0.3277607705	1.771505726	0.2667590163	0.4097041779	0.9725721512	-0.5347998713	0.8033578088	-0.6106087802	1.267548567	-1.99559849	0.7159717576	-0.79880994	-0.180226468	-1.117805663	0.7866938482	1.21643121	0.4497577753	0.08480083876	0.8292759328	-1.662290661	-1.027761369	1.067833994	-0.700230065	2.129778893	-0.3593792314	-0.9846006165	-1.885240375	0.708959225	-0.8793276371	-1.925447715	-0.4442824335	-0.4078871284	-0.9565227682	-0.09871760142	0.3234708868	0.2102376448	-1.032865513	0.9320222499	0.5557334631	-0.4318136414	2.499873458	-1.07106879	0.07254635072	2.380038453	-0.2155958043	-0.9669938255	-1.389424668	-0.370281817	-0.3769471185	0.8174409888	-1.052751594	-0.7082470684	1.239789772	-0.4893698477	-0.7636526673	-1.857371726	0.8655431272	-1.559620386	0.6092980993	-0.1977185117	0.4653690902	-0.5619171294	-0.368467967	0.5092405163	1.018073951	1.035333886	1.668162512	0.5594424211	1.738231941	0.6861572069	-3.096835728	-1.046943845	0.8120314081	-1.670566043	1.099690222	0.3602313309	2.16300172	1.211528683	-1.408208143	0.5881561612	-0.5144003764	-0.04078761191	0.09024966012	2.335029302	0.6752386473	0.2754641521	-0.2156209229	-0.5845611893	-1.667133663	-1.013228579	2.482529069	2.133286942	0.06805859877	-1.613956523	-0.05223366949	0.2121748509	0.7802283156
17	0.0078125	3.393779861	0.6087895193	1.52023705	1.318700118	0.2456542297	-1.211249377	-0.6059813882	1.292231678	1.293794019	-0.07951049583	0.5283503347	2.408041671	0.5689486008	-0.4882188884	0.7886548478	-0.009560614842	0.5143946631	0.8955746573	1.140387755	1.583866653	1.463660246	-0.256523689	-0.2704941242	1.502567151	0.8533224244	-1.330900072	-1.761770553	0.3506625534	-1.011019004	1.446063431	-0.4813408233	-1.026931741	-1.925499452	0.9322571723	0.1426434463	-0.7457215692	-0.5448559779	0.5052184512	-0.4482577422	1.085604944	-0.7762412091	0.8391107401	-0.8281911212	-0.8049258454	1.000244144	-1.103238887	0.4392802081	-0.5410710969	0.1983143396	0.8154816897	0.9999224709	-1.335937962	1.343766977	2.418156085	-0.2877178886	-1.196800275	-0.7678194014	0.8345711747	0.2296726206	1.531981109	0.442161645	0.8281187332	0.1815721063	1.161140533	0.2248975176	0.6842805311	1.655328285	0.01628043101	0.7676812338	2.171488061	-0.3866363044	1.251243818	-2.781657287	0.5218845513	1.030975152	1.106985862	-1.264923975	1.113458303	0.482539502	0.2464331403	-2.588076244	0.2146624104	-1.609493374	0.3785416401	0.9191774118	-2.466692062	-0.4656541986	-2.485328401	-0.1852705483	-0.1582378064	-1.021509378	-0.002164615511	0.3902202128	1.439308466	1.380020621	2.447463846	-2.028842212
18	0.0078125	-1.915169379	-0.679443653	1.300018217	-1.626288312	-1.136970033	0.2619913553	-2.51051797	-0.2907666314	0.4258854667	-1.037779099	1.234747148	0.7249746492	-0.9610924549	-0.06413489175	-0.3666698751	-0.5596614048	0.8547576017	-1.828534888	1.568174738	1.46377957	-0.6058918431	-0.0003643330795	-0.2422108284	-1.211075607	-1.643918995	0.7450912472	0.9804105212	-0.7240080217	-0.6355609705	0.2299934638	0.6106818634	-0.2311655694	1.572425242	-0.92739932	2.735589762	1.969127591	-1.775623806	1.733122875	0.6749633484	-0.2574162871	0.7770509393	-0.1082111611	-1.828340336	0.04586749762	-0.6016589439	1.078857807	2.175929821	-0.5116298844	0.1770243315	-0.03599988778	0.6066988557	1.086573148	1.721090716	1.028736071	-0.6460867446	0.08498898931	1.746884581	-0.2789016654	-0.9679315878	-0.4301553112	-0.7755913637	2.731504425	1.292460969	0.4793874919	0.6243872124	2.277896181	0.4553760101	-0.2919833249	2.287334021	0.3906298478	-0.3404440994	1.712541581	1.876899959	0.4341371168	0.5814528585	-1.714497606	-1.217650481	-0.2234441896	0.9806518857	2.384124924	-1.505561741	-0.5794861958	-0.8084838999	-0.8410978322	-1.876399306	-0.0191171318	-1.864002893	0.02126714497	1.660966723	-1.019955296	0.6929919845	1.495952403	-1.791069873	-0.03960247994	-1.549411882	-0.08632497614	1.333249623
